Countries and areas,Birth registration (%) Urban,Birth registration (%) Rural,Birth registration (%) Ratio of urban to rural,Skilled birth attendant (%) Urban,Skilled birth attendant (%)  Rural,Skilled birth attendant (%) Ratio of urban to rural,Stunting prevalence in children under 5 (moderate & severe) Urban,Stunting prevalence in children under 5 (moderate & severe) Rural,Stunting prevalence in children under 5 (moderate & severe) Ratio of rural to urban,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) Urban,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) Rural,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) Ratio of urban to rural,Primary school net attendance ratio Urban,Primary school net attendance ratio Rural,Primary school net attendance ratio Ratio of urban to rural,"Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 Urban","Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 Rural","Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 Ratio of urban to rural",Use of basic sanitation services (%)  Urban,Use of basic sanitation services (%)  Rural,Use of basic sanitation services (%) Ratio of urban to rural,Survival rate to the last grade of primary: females as a % of males,Life expectancy: females as a % of males
Tonga,92,94,1.0,94,96,1.0,9,8,0.9,,,,92,93,1.0,11,13,0.8,97,92,1.0,,109
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,110
Tunisia,100,98,1.0,77,67,1.1,8,14,1.7,69,59,1.2,99,97,1.0,22,13,1.7,98,83,1.2,103,106
Turkey,99,98,1.0,99,92,1.1,8,14,1.8,,,,95,96,1.0,,,,99,89,1.1,99,109
Turkmenistan,100,100,1.0,100,100,1.0,12,11,0.9,,,,98,98,1.0,7,4,2.0,94,99,1.0,,111
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,60,38,1.6,93,93,1.0,10,11,1.1,,,,98,99,1.0,38,41,0.9,92,91,1.0,,
Uganda,38,29,1.3,89,52,1.7,24,30,1.3,53,45,1.2,91,86,1.1,55,42,1.3,28,17,1.6,103,108
Ukraine,100,100,1.0,99,99,1.0,,,,,,,100,100,1.0,52,45,1.1,97,93,1.1,100,115
United Arab Emirates,,,,,,,,,,,,,,,,,,,100,100,1.0,103,103
United Kingdom,,,,,,,,,,,,,,,,,,,99,99,1.0,,105
United Republic of Tanzania,51,18,2.9,87,55,1.6,25,38,1.5,46,44,1.0,91,77,1.2,52,36,1.5,37,17,2.2,115,106
United States,,,,,,,,,,,,,,,,,,,100,100,1.0,,106
Uruguay,100,100,1.0,98,98,1.0,,,,,,,97,97,1.0,34,,,96,95,1.0,101,110
Uzbekistan,100,100,1.0,100,100,1.0,18,19,1.1,34,31,1.1,,,,33,30,1.1,100,100,1.0,101,108
Vanuatu,61,37,1.7,96,87,1.1,19,32,1.6,38,52,0.7,77,77,1.0,23,13,1.8,61,51,1.2,,106
Venezuela (Bolivarian Republic of),,,,,,,,,,,,,,,,,,,98,72,1.4,100,112
Viet Nam,97,96,1.0,99,92,1.1,12,27,2.3,58,49,1.2,98,97,1.0,54,47,1.1,91,72,1.3,104,113
Yemen,48,24,2.0,73,34,2.1,34,51,1.5,24,26,0.9,85,73,1.2,4,1,6.7,90,44,2.1,93,105
Zambia,20,7,3.0,88,51,1.7,36,42,1.2,68,62,1.1,92,84,1.1,50,34,1.5,49,19,2.6,94,108
Zimbabwe,67,34,1.9,93,71,1.3,22,29,1.3,46,38,1.2,98,94,1.0,56,41,1.4,54,31,1.7,104,106
